country_name,indicator_code,country_code,educational_index_id,country_id
Austria,BAR.SEC.SCHL.25UP.FE,AUT,bc29ac1b-bb72-4a9d-af07-be4c8d9a8a78,2d78d8c8-0c38-35d3-872d-3fafcdd273b2
Austria,BAR.SEC.SCHL.25UP,AUT,ef6e5d64-c717-4930-b496-c65c06d671ed,2d78d8c8-0c38-35d3-872d-3fafcdd273b2
Austria,BAR.SEC.SCHL.2529.FE,AUT,a241b174-6d7e-4f7a-b6af-67baed4c7a60,2d78d8c8-0c38-35d3-872d-3fafcdd273b2
Austria,BAR.SEC.SCHL.2529,AUT,7962f8be-b4fe-4e97-b8b9-c15fedf19c31,2d78d8c8-0c38-35d3-872d-3fafcdd273b2
Austria,BAR.SEC.SCHL.3034.FE,AUT,0b6d78bc-0199-4349-be0e-ad70944fd029,2d78d8c8-0c38-35d3-872d-3fafcdd273b2
Austria,BAR.SEC.SCHL.3034,AUT,e819a6bc-cc10-41f9-b950-2694ccd2e1a6,2d78d8c8-0c38-35d3-872d-3fafcdd273b2
Austria,BAR.SEC.SCHL.3539.FE,AUT,bfbd4200-a3d5-441f-8ce3-592448106226,2d78d8c8-0c38-35d3-872d-3fafcdd273b2
Austria,BAR.SEC.SCHL.3539,AUT,8c8078e1-eb69-450f-a035-24ae00773d82,2d78d8c8-0c38-35d3-872d-3fafcdd273b2
Austria,BAR.SEC.SCHL.4044.FE,AUT,a89ef434-574a-4de4-bc53-aef3c2eaf303,2d78d8c8-0c38-35d3-872d-3fafcdd273b2
Austria,BAR.SEC.SCHL.4044,AUT,9d03e9e8-a2c7-44b8-9447-6f8f408e4e80,2d78d8c8-0c38-35d3-872d-3fafcdd273b2
Austria,BAR.SEC.SCHL.4549.FE,AUT,dbce3392-4381-4103-aff7-8b2a013dc87a,2d78d8c8-0c38-35d3-872d-3fafcdd273b2
Austria,BAR.SEC.SCHL.4549,AUT,8c8fffa8-ba10-4dc7-a5cb-7b885c4b962b,2d78d8c8-0c38-35d3-872d-3fafcdd273b2
Austria,BAR.SEC.SCHL.5054.FE,AUT,866e7235-d018-44ca-8e95-392b5a743498,2d78d8c8-0c38-35d3-872d-3fafcdd273b2
Austria,BAR.SEC.SCHL.5054,AUT,77331eb5-5e63-4d01-ad46-cbd297beee38,2d78d8c8-0c38-35d3-872d-3fafcdd273b2
Austria,BAR.SEC.SCHL.5559.FE,AUT,fef77a01-5f99-4687-b841-aa2d6ac56964,2d78d8c8-0c38-35d3-872d-3fafcdd273b2
Austria,BAR.SEC.SCHL.5559,AUT,e07b290a-fdb9-489e-8154-82f6a3a2d622,2d78d8c8-0c38-35d3-872d-3fafcdd273b2
Austria,BAR.SEC.SCHL.6064.FE,AUT,c7a967b4-d247-4254-81be-de39d30dc179,2d78d8c8-0c38-35d3-872d-3fafcdd273b2
Austria,BAR.SEC.SCHL.6064,AUT,aa186b30-f527-4cd4-b3a6-893da3e64842,2d78d8c8-0c38-35d3-872d-3fafcdd273b2
Austria,BAR.SEC.SCHL.6569.FE,AUT,4729ac61-42ed-47a5-837c-67e0882927f4,2d78d8c8-0c38-35d3-872d-3fafcdd273b2
Austria,BAR.SEC.SCHL.6569,AUT,5f7df1f4-a671-49fc-ab2c-a17705e2b131,2d78d8c8-0c38-35d3-872d-3fafcdd273b2
Austria,BAR.SEC.SCHL.7074.FE,AUT,c5092dd8-8955-4fe0-b9d6-e6dbae2133ae,2d78d8c8-0c38-35d3-872d-3fafcdd273b2
Austria,BAR.SEC.SCHL.7074,AUT,1936d8a4-41ba-4fb5-9f52-e3400170fc7c,2d78d8c8-0c38-35d3-872d-3fafcdd273b2
Austria,BAR.SEC.SCHL.75UP.FE,AUT,b3c97591-2b20-48e4-ae76-ba93cfd012c3,2d78d8c8-0c38-35d3-872d-3fafcdd273b2
Austria,BAR.SEC.SCHL.75UP,AUT,c78d4adf-3dff-43cb-9cb8-a58ccd3db358,2d78d8c8-0c38-35d3-872d-3fafcdd273b2
Austria,BAR.TER.SCHL.15UP.FE,AUT,0f4928c0-0e86-4f60-9ed8-a6314c5426e4,2d78d8c8-0c38-35d3-872d-3fafcdd273b2
Austria,BAR.TER.SCHL.15UP,AUT,6397971e-155b-453d-9ba7-76c18dab4c4c,2d78d8c8-0c38-35d3-872d-3fafcdd273b2
Austria,BAR.TER.SCHL.1519.FE,AUT,7e952d74-aa9f-4f26-9cf5-b4b7b755705b,2d78d8c8-0c38-35d3-872d-3fafcdd273b2
Austria,BAR.TER.SCHL.1519,AUT,4bf1028b-23fd-479a-a01b-61968f3e9e97,2d78d8c8-0c38-35d3-872d-3fafcdd273b2
Austria,BAR.TER.SCHL.2024.FE,AUT,181a4e62-4515-4455-8ce0-39df09304a4b,2d78d8c8-0c38-35d3-872d-3fafcdd273b2
Austria,BAR.TER.SCHL.2024,AUT,73a350fd-a76b-4e41-a478-7c8964f7e7ea,2d78d8c8-0c38-35d3-872d-3fafcdd273b2
Austria,BAR.TER.SCHL.25UP.FE,AUT,0d528806-a20c-4d47-bf44-b68351f563b7,2d78d8c8-0c38-35d3-872d-3fafcdd273b2
Austria,BAR.TER.SCHL.25UP,AUT,f4ffe89a-f648-43e1-86e4-cfed9daa2b73,2d78d8c8-0c38-35d3-872d-3fafcdd273b2
Austria,BAR.TER.SCHL.2529.FE,AUT,5298d09c-77be-42c0-8e63-7732760fceb7,2d78d8c8-0c38-35d3-872d-3fafcdd273b2
Austria,BAR.TER.SCHL.2529,AUT,514c3444-cfb3-4897-8d34-8db32d0a9d21,2d78d8c8-0c38-35d3-872d-3fafcdd273b2
Austria,BAR.TER.SCHL.3034.FE,AUT,5aba4a78-85a3-4db6-9988-6bdc0629660d,2d78d8c8-0c38-35d3-872d-3fafcdd273b2
Austria,BAR.TER.SCHL.3034,AUT,bc8049e9-cbdc-49e9-bb05-ac4d9ddb5494,2d78d8c8-0c38-35d3-872d-3fafcdd273b2
Austria,BAR.TER.SCHL.3539.FE,AUT,22fff052-db04-4eae-9f95-20362169e632,2d78d8c8-0c38-35d3-872d-3fafcdd273b2
